table	title	primary_analysis_script	notes
Table S1	Participant characteristics, clinical annotation and post-RCA yield	-	Curated participant and sample metadata, static across v1 and v2. Not derived by any script in this repository; it is an input to 09_clinical_correlates/clinical_correlates_v2.py and 04_rca_technical_bias/run_rca_bias_analysis.py.
Table S2	Summary of plasma eccDNA characteristics	00_sequencing_qc/collect_seq_qc.py	Block S2a (per-sample eccDNA count and EPM) was migrated to the v2 call set by the repair script.
Table S3	Cohort comparisons and effect sizes	-	Master statistics table: eight named BH-corrected FDR families, two-sided Wilcoxon rank-sum with Cliff's delta. Aggregated from the per-family statistics produced by 02_eccdna_quantification, 03_fragment_length and 00_sequencing_qc.
Table S4	Age-matched pair assignments and paired statistics	08_age_matching/build_age_matched_pairs.py	Must run after the S2a repair, because the matching inputs are read from Table S2a. Age caliper 1 year, no burden term, so the pair list is unchanged under v2.
Table S5	Fragment-length peak identification and sensitivity analyses	03_fragment_length/run_fragment_length_peak_analysis.py	Blocks S5b-e were migrated to v2. Peak positions 196/365/571 (v1) to 196/366/571 (v2).
Table S6	Circle-Map call-set sensitivity of eccDNA burden	01_callsets_and_robustness/build_circlemap_sensitivity.py	-
Table S7	Circle-Map/Circle_finder caller concordance	01_callsets_and_robustness/validate_circlefinder_runs.py; build_consensus_callsets.py	Independent second caller and the 10 bp two-caller consensus.
Table S8	Fragment-size sensitivity across call sets	01_callsets_and_robustness/run_core_robustness_analysis.py	-
Table S9	Association of plasma eccDNA burden with clinical and laboratory variables in the COVID-19 cohort	09_clinical_correlates/clinical_correlates_v2.py	Authoritative generator for the clinical block and for sub-tables A1-A6. Confidence intervals are 5,000-resample percentile bootstrap under a fixed seed.
Table S10	Chromosome-normalized eccDNA fractions	02_eccdna_quantification/genomic_distribution.py	-
Table S11	EccDNA mapping ratios across repeat classes	02_eccdna_quantification/run_epm_reanalysis.py	Deliberately NOT migrated to v2: the source analysis runs on BAM reads, which are identical under both call sets.
Table S12	EccDNA distributions across gene features	02_eccdna_quantification/genomic_distribution.py	-
Table S13	Gene-feature observed/expected enrichment	02_eccdna_quantification/genomic_distribution.py	The overlap rule follows the Methods (see docs/call_sets.md, amendment A4).
Table S14	Differentially abundant eccGenes	05_eccgene/run_eccgene_reanalysis.py	Significant set 3,402 genes (v1) to 3,487 (v2); this is the only sheet whose row count changes.
Table S15	EccGene and chromatin robustness across call sets	01_callsets_and_robustness/summarize_downstream_robustness.py	-
Table S16	Validation-target support and breakpoint artifact audit	01_callsets_and_robustness/audit_validation_target_masks.py	Five targets audited computationally; three (CTNNA2, SDK1, TCF7L1) taken forward.
Table S17	Chromatin overlap and enrichment analyses	07_chromatin/run_chromatin_hg38_analysis.py	Blocks S17b-g migrated to v2. S17a (peak-set provenance) is call-set independent and left alone.
Table S18	Controls for cohort differences in detected eccDNA burden	07_chromatin/run_p0_burden_control.py	Blocks S18a/c/e/f migrated: downsampling, burden window, HC3 covariate adjustment and Spearman burden controls.
Table S19	Cross-cell-type chromatin and mappability controls	07_chromatin/run_chromatin_extensions.py	Blocks S19b/d migrated. S19a/S19c (mappability provenance) are call-set independent.
Table S20	Auditable selection evidence for candidate eccGene loci	06_candidate_loci/rank_candidate_loci.py; build_ranking_workbook.py; build_locus_selection_supplementary_table.py	Prespecified eligibility screen; the display loci follow from the ranking, not the other way round.
Table S21	Non-COVID pneumonia samples collected but not sequenced in this study	09_clinical_correlates/build_table_s21.py	-
